county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
capitol,CT,0.811,0.841,1.149,341649,122.288
greater-bridgeport,CT,0.802,0.958,1.135,104988,19.618
lower-connecticut-river-valley,CT,0.357,0.647,1.099,82594,41.537
naugatuck-valley,CT,0.0,0.877,1.082,157742,4.858
northeastern-connecticut,CT,0.629,0.304,1.174,45871,47.535
northwest-hills,CT,0.688,0.338,1.197,61269,43.491
south-central-connecticut,CT,0.84,0.95,1.112,187811,9.887
southeastern-connecticut,CT,0.435,0.657,1.115,104222,14.474
western-connecticut,CT,0.513,0.877,1.103,203413,8.854
kent,DE,0.816,0.653,1.288,82505,28.24
new-castle,DE,0.854,0.92,1.134,200794,16.118
sussex,DE,0.616,0.677,1.245,201596,272.772
barnstable,MA,0.527,0.974,1.16,182826,127.474
berkshire,MA,0.667,0.495,1.244,76332,44.89
bristol,MA,0.839,0.85,1.146,202399,19.289
dukes,MA,0.332,0.622,1.245,21862,463.339
essex,MA,0.828,0.926,1.126,266987,24.394
franklin,MA,0.735,0.339,1.35,42488,120.814
hampden,MA,0.838,0.849,1.159,165571,25.581
hampshire,MA,0.82,0.592,1.233,65752,41.615
middlesex,MA,0.846,0.953,1.126,524738,24.266
nantucket,MA,0.352,0.672,1.395,14465,116.295
norfolk,MA,0.877,0.973,1.106,245691,16.056
plymouth,MA,0.831,0.851,1.156,215296,104.13
suffolk,MA,0.745,1.0,1.367,210132,52.399
worcester,MA,0.828,0.714,1.183,318645,69.727
allegany,MD,0.736,0.563,1.303,40732,25.717
anne-arundel,MD,0.78,0.903,1.367,281738,6.562
baltimore,MD,0.678,1.0,1.251,238633,734.087
baltimore-county,MD,0.776,0.898,1.344,372042,25.814
calvert,MD,0.763,0.402,1.161,44463,12.127
caroline,MD,0.764,0.127,1.245,16886,31.323
carroll,MD,0.892,0.555,1.114,69052,15.585
cecil,MD,0.774,0.431,1.284,49522,27.181
charles,MD,0.778,0.656,1.125,71969,17.433
dorchester,MD,0.656,0.336,1.378,23349,163.433
frederick,MD,0.694,0.65,1.084,123840,13.024
garrett,MD,0.502,0.081,1.323,30296,36.326
harford,MD,0.849,0.771,1.111,104063,10.105
howard,MD,0.881,0.843,1.095,96715,20.491
kent,MD,0.635,0.172,1.236,13755,41.658
montgomery,MD,0.868,0.953,1.095,286399,18.067
prince-georges,MD,0.854,0.954,1.35,347504,129.705
queen-annes,MD,0.77,0.438,1.169,27390,29.207
somerset,MD,0.585,0.278,1.433,16999,95.69
st-marys,MD,0.741,0.348,1.2,52211,18.644
talbot,MD,0.706,0.36,1.192,22365,28.014
washington,MD,0.784,0.595,1.169,61774,20.214
wicomico,MD,0.706,0.63,1.282,47547,20.924
worcester,MD,0.509,0.676,1.179,46265,31.083
androscoggin,ME,0.588,0.451,1.137,41206,13.903
aroostook,ME,0.022,0.148,1.039,39021,3846.213
cumberland,ME,0.491,0.512,1.151,144115,124.901
franklin,ME,0.232,0.0,1.146,25430,209.911
hancock,ME,0.322,0.0,1.187,52236,156.821
kennebec,ME,0.363,0.331,1.106,50414,13.009
knox,ME,0.192,0.264,1.066,29235,15.835
lincoln,ME,0.136,0.1,1.076,29907,12.583
oxford,ME,0.299,0.072,1.163,42529,164.285
penobscot,ME,0.045,0.395,1.131,48577,573.429
piscataquis,ME,0.214,0.0,1.221,12692,4082.583
sagadahoc,ME,0.292,0.275,1.102,20595,14.044
somerset,ME,0.125,0.171,1.141,20692,1970.493
waldo,ME,0.226,0.101,1.086,19824,20.218
washington,ME,0.281,0.0,1.199,38317,360.731
york,ME,0.404,0.466,1.134,107092,14.807
belknap,NH,0.54,0.441,1.178,47969,26.176
carroll,NH,0.374,0.075,1.234,60056,97.815
cheshire,NH,0.705,0.2,1.237,42660,78.398
