county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
aleutians-east,AK,0.0,0.0,2.444,5588,72497.453
aleutians-west,AK,0.175,0.0,4.209,14759,17265.183
anchorage,AK,0.784,0.928,2.03,1232171,415.528
bethel,AK,0.0,0.138,3.681,39516,1279883.503
bristol-bay,AK,0.0,0.0,1.712,4886,11223.077
chugach,AK,0.194,0.0,2.562,42941,50765.185
copper-river,AK,0.0,0.0,3.783,5247,3249066.072
denali,AK,0.181,0.0,2.581,11233,656175.735
dillingham,AK,0.229,0.0,3.571,15499,3872297.56
fairbanks-north-star,AK,0.515,0.572,1.992,2895503,5940.805
haines,AK,0.401,0.0,1.899,18052,250.954
hoonah-angoon,AK,0.0,0.0,3.594,4346,311397.695
juneau,AK,0.663,0.675,1.573,89707,493.546
kenai-peninsula,AK,0.518,0.138,2.135,1931405,3821.187
ketchikan-gateway,AK,0.717,0.732,1.868,116718,4488.239
kodiak-island,AK,0.725,0.584,2.345,549377,12139.497
kusilvak,AK,0.0,0.0,4.183,18673,1546764.365
lake-and-peninsula,AK,0.0,0.0,3.346,185497,79589.249
matanuska-susitna,AK,0.327,0.196,1.479,2588457,849.23
nome,AK,0.284,0.0,4.912,33377,316428.525
north-slope,AK,0.0,0.0,1.386,7054,8374.176
northwest-arctic,AK,0.0,0.0,8.119,24293,1479035.71
petersburg,AK,0.0,0.0,2.274,8191,30845.85
prince-of-wales-hyder,AK,0.0,0.0,4.501,20944,105340.908
sitka,AK,0.843,0.857,1.568,15401,177.166
skagway,AK,0.356,0.0,2.54,6738,1498.122
southeast-fairbanks,AK,0.0,0.0,3.953,6096,1652162.916
wrangell,AK,0.4,0.0,4.026,24641,89191.926
yakutat,AK,0.485,0.0,2.799,7013,29765.07
yukon-koyukuk,AK,0.0,0.0,1.751,6183,2268919.894
apache,AZ,0.153,0.0,1.671,635038,558.225
cochise,AZ,0.511,0.364,1.77,2815975,767.081
coconino,AZ,0.428,0.43,1.446,710286,998.557
gila,AZ,0.5,0.523,1.424,249420,296.954
graham,AZ,0.551,0.481,1.727,461998,125.646
greenlee,AZ,0.0,0.0,1.468,4663,3583.428
la-paz,AZ,0.0,0.414,1.439,67064,35579.705
maricopa,AZ,0.797,0.937,1.448,178628672,10.861
mohave,AZ,0.413,0.497,1.757,5537524,2918.863
navajo,AZ,0.328,0.46,1.602,3200505,500.687
pima,AZ,0.801,0.865,1.322,7811668,150.026
pinal,AZ,0.665,0.651,1.582,51603522,13.731
santa-cruz,AZ,0.483,0.166,1.535,1158110,43.645
yavapai,AZ,0.624,0.541,1.544,3895070,676.5
yuma,AZ,0.72,0.805,1.498,1210388,1998.294
alameda,CA,0.836,0.99,1.423,4212395,573.343
alpine,CA,0.131,0.0,1.207,10101,119.089
amador,CA,0.617,0.227,1.372,181691,1851.906
butte,CA,0.629,0.611,1.491,911206,1763.763
calaveras,CA,0.43,0.118,1.44,333838,2226.768
colusa,CA,0.565,0.386,1.857,67406,283.07
contra-costa,CA,0.865,0.985,1.299,3406119,9627.768
del-norte,CA,0.511,0.396,1.388,118297,2599.426
el-dorado,CA,0.608,0.593,1.347,3267175,4884.705
fresno,CA,0.758,0.829,1.393,2670099,410.047
glenn,CA,0.651,0.478,1.648,66171,249.779
humboldt,CA,0.655,0.559,1.808,1262365,1957.056
imperial,CA,0.492,0.481,1.449,1251543,33.055
inyo,CA,0.521,0.329,1.685,271694,2957.275
kern,CA,0.641,0.594,1.45,5340183,254.104
kings,CA,0.05,0.83,1.614,835979,414.699
lake,CA,0.408,0.49,1.612,417187,412.558
lassen,CA,0.374,0.14,2.095,1675125,10615.5
los-angeles,CA,0.817,0.963,1.359,49237145,478.54
madera,CA,0.688,0.44,1.436,428772,203.226
marin,CA,0.809,0.908,1.302,432703,2899.207
mariposa,CA,0.504,0.0,1.507,356556,8933.61
mendocino,CA,0.575,0.362,1.926,715723,5003.233
merced,CA,0.647,0.72,1.232,382423,21.579
modoc,CA,0.159,0.0,1.568,791622,519.643
mono,CA,0.18,0.507,1.169,52178,436.505
monterey,CA,0.724,0.797,1.409,722296,2395.762
napa,CA,0.723,0.781,1.351,306660,849.75
nevada,CA,0.58,0.527,1.281,326868,1503.534
orange,CA,0.0,0.993,1.316,8915857,297.087
placer,CA,0.684,0.74,1.318,2618972,120.83
plumas,CA,0.368,0.0,1.534,331880,3241.36
riverside,CA,0.757,0.904,1.456,29798616,2982.418
sacramento,CA,0.852,0.955,1.29,9642739,55.646
san-benito,CA,0.828,0.731,1.455,113746,1162.177
san-bernardino,CA,0.685,0.826,1.442,47161303,9740.796
san-diego,CA,0.801,0.936,1.464,31163438,557.541
san-francisco,CA,0.675,1.0,1.283,2124768,21.024
san-joaquin,CA,0.794,0.875,1.306,1752180,33.771
san-luis-obispo,CA,0.649,0.749,1.431,1016464,371.603
san-mateo,CA,0.815,0.977,1.285,1033033,330.144
santa-barbara,CA,0.762,0.928,1.343,650016,12533.746
santa-clara,CA,0.752,0.978,1.229,2488510,107.247
santa-cruz,CA,0.702,0.805,1.389,558980,241.292
shasta,CA,0.714,0.546,1.616,3743150,918.217
sierra,CA,0.329,0.005,1.36,92820,1829.502
siskiyou,CA,0.437,0.162,1.992,2101329,7759.555
solano,CA,0.828,0.926,1.289,6543448,2487.431
sonoma,CA,0.718,0.77,1.323,730692,126.199
stanislaus,CA,0.815,0.914,1.341,1036173,310.119
sutter,CA,0.774,0.796,1.453,185556,213.449
tehama,CA,0.653,0.282,1.625,418691,1699.481
trinity,CA,0.277,0.0,1.385,313794,1958.451
tulare,CA,0.803,0.756,1.536,1586282,1497.776
tuolumne,CA,0.482,0.454,1.591,1706295,8133.463
ventura,CA,0.804,0.953,1.264,3111045,5977.719
yolo,CA,0.81,0.894,1.329,1007260,2904.665
yuba,CA,0.666,0.584,1.315,205924,3298.759
adams,CO,0.88,0.904,1.307,8593298,15.059
alamosa,CO,0.493,0.354,1.64,175456,105.961
arapahoe,CO,0.875,0.957,1.197,8356965,20.415
archuleta,CO,0.456,0.314,1.453,89465,138.444
baca,CO,0.0,0.0,1.044,8618,438.39
bent,CO,0.507,0.0,2.359,125745,346.244
boulder,CO,0.798,0.841,1.319,1238609,2268.754
broomfield,CO,0.866,0.977,1.234,597963,89.245
chaffee,CO,0.552,0.399,1.521,73273,474.215
cheyenne,CO,0.408,0.0,3.443,61436,932.17
clear-creek,CO,0.435,0.0,3.574,1044789,7934.018
conejos,CO,0.44,0.0,1.844,61636,1042.032
costilla,CO,0.043,0.0,2.247,7473698,58.647
crowley,CO,0.576,0.0,1.572,14104,336.225
custer,CO,0.333,0.0,1.459,36401,183.165
delta,CO,0.783,0.213,1.478,199115,7358.941
denver,CO,0.848,0.998,1.242,5771903,23.62
dolores,CO,,0.0,2.279,77609,2598.383
douglas,CO,0.925,0.844,1.293,5617724,43.582
eagle,CO,0.382,0.804,1.485,316926,3951.093
el-paso,CO,0.865,0.868,1.272,11045134,34.996
elbert,CO,0.807,0.0,1.447,163047,928.771
fremont,CO,0.679,0.395,1.433,178937,939.725
garfield,CO,0.66,0.59,1.36,230026,1628.024
gilpin,CO,0.327,0.0,1.788,199467,8204.273
grand,CO,0.194,0.473,1.486,371950,7501.282
gunnison,CO,0.347,0.166,1.65,160115,9344.604
hinsdale,CO,0.215,0.0,1.675,17251,56.472
huerfano,CO,0.288,0.0,1.642,48160,270.351
jackson,CO,0.189,0.0,1.423,8602,2100.229
jefferson,CO,0.752,0.879,1.255,3893963,90.942
kiowa,CO,0.0,0.0,1.979,7063,2056.585
kit-carson,CO,0.665,0.0,3.023,96490,1127.813
la-plata,CO,0.643,0.256,1.549,270639,4347.746
lake,CO,0.38,0.396,1.858,115017,241.947
larimer,CO,0.808,0.817,1.455,2327165,3153.261
las-animas,CO,0.44,0.304,1.663,113556,707.829
lincoln,CO,0.063,0.0,1.294,26995,761.977
logan,CO,0.788,0.537,1.818,158496,965.704
mesa,CO,0.825,0.845,1.385,579378,2736.873
mineral,CO,0.255,0.0,1.733,23323,161.397
moffat,CO,0.498,0.439,1.499,77117,4890.639
montezuma,CO,0.721,0.26,1.496,78874,1504.758
montrose,CO,0.64,0.497,1.491,278178,346.904
morgan,CO,0.825,0.536,1.759,145066,822.805
otero,CO,0.758,0.342,1.85,146610,1134.476
ouray,CO,0.39,0.0,1.79,58642,3693.829
park,CO,0.207,0.0,1.424,375462,151.219
phillips,CO,0.701,0.0,2.208,35680,400.182
pitkin,CO,0.371,0.669,1.539,91584,421.771
prowers,CO,0.666,0.481,2.071,44852,778.741
pueblo,CO,0.706,0.681,1.553,1246647,221.107
rio-blanco,CO,0.69,0.0,1.824,59654,1945.974
rio-grande,CO,0.465,0.0,1.73,64239,897.61
routt,CO,0.324,0.559,1.595,213400,1497.17
saguache,CO,0.286,0.0,1.894,106438,839.817
san-juan,CO,0.191,0.0,5.202,152972,1036.446
san-miguel,CO,0.303,0.563,1.621,85226,4113.535
sedgwick,CO,0.585,0.0,2.221,52398,6417.696
summit,CO,0.32,0.798,1.425,353548,4716.341
teller,CO,0.463,0.219,1.725,425039,247.193
washington,CO,0.489,0.0,2.187,56756,693.156
weld,CO,0.527,0.706,1.357,3455223,1483.898
yuma,CO,0.717,0.0,2.859,132210,387.125
hawaii,HI,0.411,0.227,1.545,4537158,325.013
honolulu,HI,0.678,0.983,1.254,1194743,229.668
kalawao,HI,0.0,0.0,2.167,80,1713.843
kauai,HI,0.0,0.513,1.208,30467,936.545
maui,HI,0.528,0.768,1.691,1107768,223.044
ada,ID,0.877,0.909,1.398,5739644,778.91
adams,ID,0.353,0.0,1.583,55344,1204.647
bannock,ID,0.758,0.716,1.602,662806,354.537
bear-lake,ID,0.326,0.0,1.979,69032,953.165
benewah,ID,0.585,0.0,2.189,809887,1202.739
bingham,ID,0.604,0.274,1.728,211147,312.271
blaine,ID,0.447,0.715,1.733,929768,12913.887
boise,ID,0.374,0.0,1.575,75095,6389.289
bonner,ID,0.552,0.178,1.625,1515239,1783.014
bonneville,ID,0.804,0.78,1.588,963180,3625.503
boundary,ID,0.707,0.0,1.933,108752,1467.85
butte,ID,0.291,0.0,1.595,22459,594.67
camas,ID,0.33,0.0,3.569,292923,15772.321
canyon,ID,,0.755,1.329,1377417,194.771
caribou,ID,0.0,0.0,1.757,53008,29181.163
cassia,ID,0.624,0.337,2.11,408301,1141.807
clark,ID,0.25,0.0,4.088,18816,22475.207
clearwater,ID,0.643,0.0,2.694,566606,3500.522
custer,ID,0.489,0.0,2.004,103099,8100.616
elmore,ID,0.748,0.552,2.235,1325738,12235.0
franklin,ID,0.714,0.0,1.878,66647,109.308
fremont,ID,0.385,0.0,2.214,1209482,6427.017
gem,ID,0.783,0.459,1.509,281202,4057.697
gooding,ID,0.808,0.0,2.067,398431,6829.26
idaho,ID,0.631,0.0,2.14,112131,1193.598
jefferson,ID,0.85,0.279,1.769,170268,1014.275
jerome,ID,0.824,0.473,2.39,639748,6283.172
kootenai,ID,0.759,0.63,1.483,871309,2085.475
latah,ID,0.0,0.394,1.386,22985,1451.037
