county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
aleutians-east,AK,0.0,0.0,2.444,5588,72497.453
aleutians-west,AK,0.244,0.0,3.897,7879,32252.187
anchorage,AK,0.737,0.924,1.784,159107,1966.096
bethel,AK,0.0,0.138,3.681,39516,1279883.503
bristol-bay,AK,0.0,0.0,1.712,4206,13031.218
chugach,AK,0.234,0.0,2.433,15940,135310.52
copper-river,AK,0.0,0.0,3.783,5247,3249066.072
denali,AK,0.209,0.0,2.313,6395,1152355.691
dillingham,AK,0.265,0.0,3.395,9746,6158062.389
fairbanks-north-star,AK,0.488,0.56,1.563,62695,86959.534
haines,AK,0.454,0.0,1.615,4628,464.191
hoonah-angoon,AK,0.0,0.0,3.594,3975,340459.901
juneau,AK,0.659,0.676,1.398,13268,213.084
kenai-peninsula,AK,0.512,0.134,1.561,65820,20687.785
ketchikan-gateway,AK,0.732,0.708,1.367,8326,988.81
kodiak-island,AK,0.688,0.485,1.544,8730,58582.724
kusilvak,AK,0.0,0.0,4.183,18673,1546764.365
lake-and-peninsula,AK,0.0,0.0,3.345,12015,1124500.822
matanuska-susitna,AK,0.327,0.207,1.224,111173,474.161
nome,AK,0.371,0.0,4.392,14284,739073.01
north-slope,AK,0.0,0.0,1.386,7054,8374.176
northwest-arctic,AK,0.0,0.0,8.119,24293,1479035.71
petersburg,AK,0.0,0.0,2.274,8191,30845.85
prince-of-wales-hyder,AK,0.0,0.0,4.501,20788,106121.04
sitka,AK,0.852,0.849,1.288,3647,46.235
skagway,AK,0.416,0.0,2.217,2459,4061.225
southeast-fairbanks,AK,0.0,0.0,3.953,6096,1652162.916
wrangell,AK,0.472,0.0,3.439,7049,309606.394
yakutat,AK,0.558,0.0,2.079,1391,148822.622
yukon-koyukuk,AK,0.0,0.0,1.751,6183,2268919.894
apache,AZ,0.158,0.0,1.362,57815,152.483
cochise,AZ,0.468,0.339,1.396,122843,230.408
coconino,AZ,0.421,0.432,1.241,79335,5561.368
gila,AZ,0.497,0.533,1.228,33354,65.839
graham,AZ,0.525,0.464,1.388,18724,121.415
greenlee,AZ,0.0,0.0,1.468,4663,3583.428
la-paz,AZ,0.0,0.414,1.439,16128,125802.14
maricopa,AZ,0.716,0.935,1.221,1737398,48.966
mohave,AZ,0.369,0.459,1.31,265269,42568.426
navajo,AZ,0.327,0.436,1.326,86166,1343.129
pima,AZ,0.755,0.865,1.188,443958,2361.357
pinal,AZ,0.607,0.635,1.364,276356,122.268
santa-cruz,AZ,0.464,0.159,1.373,43183,140.934
yavapai,AZ,0.588,0.538,1.296,185125,5713.062
yuma,AZ,0.68,0.781,1.228,95312,12773.616
alameda,CA,0.768,0.989,1.206,487649,111.637
alpine,CA,0.136,0.0,1.154,3048,181.412
amador,CA,0.603,0.24,1.212,24381,384.699
butte,CA,0.591,0.604,1.195,95790,690.243
calaveras,CA,0.43,0.115,1.292,43450,1743.456
colusa,CA,0.574,0.368,1.491,15041,357.361
contra-costa,CA,0.805,0.984,1.132,385382,42.055
del-norte,CA,0.537,0.414,1.215,16080,741.602
el-dorado,CA,0.593,0.591,1.219,116775,4876.291
fresno,CA,0.688,0.82,1.148,316882,2812.741
glenn,CA,0.654,0.471,1.384,16266,431.872
humboldt,CA,0.603,0.556,1.405,72666,12360.657
imperial,CA,0.467,0.46,1.211,86953,65.262
inyo,CA,0.52,0.323,1.472,17470,31857.958
kern,CA,0.585,0.582,1.172,421518,834.352
kings,CA,0.051,0.799,1.324,51342,2433.658
lake,CA,0.392,0.495,1.322,63883,108.855
lassen,CA,0.38,0.149,1.801,38630,282728.81
los-angeles,CA,0.725,0.957,1.104,2426818,5367.723
madera,CA,0.661,0.448,1.248,65762,174.902
marin,CA,0.764,0.906,1.141,96275,169.155
mariposa,CA,0.506,0.0,1.322,14321,10808.112
mendocino,CA,0.574,0.374,1.59,60744,5809.642
merced,CA,0.627,0.73,1.062,90175,15.165
modoc,CA,0.173,0.0,1.292,32472,774.083
mono,CA,0.199,0.511,1.106,20426,200.152
monterey,CA,0.675,0.795,1.176,123619,868.66
napa,CA,0.699,0.776,1.171,50741,183.04
nevada,CA,0.57,0.525,1.157,64048,1128.178
orange,CA,0.0,0.993,1.134,930932,358.018
placer,CA,0.663,0.742,1.2,217802,82.707
plumas,CA,0.377,0.0,1.33,24866,2401.554
riverside,CA,0.705,0.896,1.284,967635,80323.075
sacramento,CA,0.779,0.955,1.106,491992,25.936
san-benito,CA,0.805,0.722,1.299,24889,1474.354
san-bernardino,CA,0.619,0.803,1.209,827608,514952.3
san-diego,CA,0.728,0.935,1.207,1087081,13231.365
san-francisco,CA,0.63,1.0,1.106,227031,6.312
san-joaquin,CA,0.735,0.874,1.119,243665,29.909
san-luis-obispo,CA,0.609,0.744,1.193,131494,1222.375
san-mateo,CA,0.769,0.976,1.121,235165,35.586
santa-barbara,CA,0.712,0.925,1.139,133215,5654.727
santa-clara,CA,0.705,0.977,1.06,502087,45.37
santa-cruz,CA,0.666,0.81,1.187,97063,79.779
shasta,CA,0.66,0.548,1.326,102230,9376.252
sierra,CA,0.343,0.005,1.241,4875,594.169
siskiyou,CA,0.435,0.166,1.634,53896,84527.817
solano,CA,0.778,0.924,1.13,152216,121.968
sonoma,CA,0.679,0.771,1.135,188316,48.887
stanislaus,CA,0.753,0.904,1.114,167463,65.761
sutter,CA,0.733,0.773,1.2,35823,77.819
tehama,CA,0.643,0.293,1.375,40160,2732.744
trinity,CA,0.301,0.0,1.241,16596,1690.067
tulare,CA,0.737,0.734,1.217,164147,3121.638
tuolumne,CA,0.48,0.452,1.404,48180,50141.201
ventura,CA,0.76,0.95,1.108,266867,3877.913
yolo,CA,0.778,0.884,1.155,65658,157.917
yuba,CA,0.645,0.585,1.183,33220,423.759
adams,CO,0.831,0.902,1.201,184732,41.347
alamosa,CO,0.496,0.358,1.358,14526,664.928
arapahoe,CO,0.827,0.957,1.096,228934,38.174
archuleta,CO,0.469,0.316,1.303,17639,216.218
baca,CO,0.0,0.0,1.044,8618,438.39
bent,CO,0.537,0.0,1.687,5705,5335.952
boulder,CO,0.749,0.839,1.145,131132,2759.207
broomfield,CO,0.846,0.976,1.167,27395,40.308
chaffee,CO,0.567,0.409,1.28,16983,41.343
cheyenne,CO,0.422,0.0,1.742,4717,2022.536
clear-creek,CO,0.405,0.0,2.946,26655,20682.173
conejos,CO,0.468,0.0,1.385,8941,193.3
costilla,CO,0.063,0.0,1.696,64625,993.917
crowley,CO,0.576,0.0,1.302,2853,993.099
custer,CO,0.353,0.0,1.278,9504,185.473
delta,CO,0.756,0.211,1.254,18957,16591.3
denver,CO,0.789,0.998,1.106,236824,29.487
dolores,CO,,0.0,1.709,4494,34877.746
douglas,CO,0.892,0.841,1.214,158692,263.065
eagle,CO,0.382,0.796,1.281,41046,5136.57
el-paso,CO,0.803,0.868,1.124,271792,86.269
elbert,CO,0.78,0.0,1.329,16993,354.446
fremont,CO,0.659,0.398,1.237,28648,2692.231
garfield,CO,0.645,0.579,1.211,28088,6734.748
gilpin,CO,0.324,0.0,1.631,9804,16200.246
grand,CO,0.209,0.459,1.335,27822,10163.666
