county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
adair,IA,0.712,0.0,4.269,280500,152.983
adams,IA,0.567,0.0,3.562,91174,203.7
allamakee,IA,0.596,0.0,1.942,123741,344.511
appanoose,IA,0.601,0.276,3.277,113404,142.361
audubon,IA,0.685,0.0,3.914,109964,155.732
benton,IA,0.794,0.151,1.678,152772,171.109
black-hawk,IA,0.863,0.817,1.834,1630715,86.137
boone,IA,0.777,0.393,2.209,520552,189.159
bremer,IA,0.848,0.273,2.222,318646,161.644
buchanan,IA,0.0,0.259,1.855,22523,97.165
buena-vista,IA,0.682,0.356,2.487,128414,90.214
butler,IA,0.633,0.0,1.969,134217,109.612
calhoun,IA,0.642,0.0,3.581,704214,175.883
carroll,IA,0.0,0.327,1.775,22420,92.575
cass,IA,0.773,0.411,3.069,482663,132.481
cedar,IA,0.787,0.0,2.573,813521,173.495
cerro-gordo,IA,0.805,0.737,2.025,381980,140.452
cherokee,IA,0.0,0.247,1.978,17080,118.746
chickasaw,IA,0.76,0.0,1.805,116552,122.243
clarke,IA,0.7,0.366,3.164,167659,157.502
clay,IA,0.0,0.437,1.848,18726,107.897
clayton,IA,0.661,0.009,3.603,695412,129.443
clinton,IA,0.686,0.611,1.804,417464,102.927
crawford,IA,0.693,0.304,3.683,224016,201.906
dallas,IA,0.857,0.661,1.62,1004063,113.371
davis,IA,0.721,0.0,3.405,214640,147.768
decatur,IA,0.652,0.0,4.444,125191,202.641
delaware,IA,0.638,0.213,2.221,54111,72.55
des-moines,IA,0.88,0.671,2.138,384530,99.767
dickinson,IA,0.51,0.722,2.195,245282,135.514
dubuque,IA,0.9,0.623,1.726,495741,36.629
emmet,IA,0.781,0.487,3.372,319301,182.277
fayette,IA,0.735,0.261,2.013,241974,123.235
floyd,IA,0.747,0.374,1.658,142295,151.448
franklin,IA,0.69,0.0,3.658,457649,150.013
fremont,IA,0.605,0.005,3.71,83978,264.781
greene,IA,0.641,0.0,3.405,413557,174.438
grundy,IA,0.38,0.0,1.475,213471,146.435
guthrie,IA,0.615,0.0,2.843,172323,146.033
hamilton,IA,0.0,0.328,2.0,19193,127.742
hancock,IA,0.0,0.0,2.0,16389,114.829
hardin,IA,0.717,0.218,2.784,290475,122.545
harrison,IA,0.72,0.0,3.774,566065,190.397
henry,IA,0.793,0.328,2.305,143106,85.98
howard,IA,0.76,0.0,3.247,102569,119.251
humboldt,IA,0.692,0.407,3.725,179047,135.728
ida,IA,0.635,0.0,3.347,116139,135.563
iowa,IA,0.736,0.0,2.764,203766,309.108
jackson,IA,0.798,0.225,2.845,176418,149.965
jasper,IA,0.845,0.372,2.169,480506,202.918
jefferson,IA,0.0,0.422,2.019,18631,109.768
johnson,IA,0.867,0.755,1.857,899347,108.906
jones,IA,0.756,0.17,2.698,484838,168.376
keokuk,IA,0.704,0.0,3.661,281202,155.277
kossuth,IA,0.0,0.203,2.074,26972,139.606
lee,IA,0.743,0.517,2.229,191662,59.515
linn,IA,0.911,0.827,1.475,1507643,84.383
louisa,IA,0.692,0.0,2.853,215309,133.263
lucas,IA,0.701,0.0,2.837,147040,126.911
lyon,IA,0.71,0.0,2.108,62853,57.353
madison,IA,0.755,0.235,2.506,303046,186.949
mahaska,IA,0.807,0.463,2.958,221102,50.223
marion,IA,0.728,0.395,1.934,138811,118.742
marshall,IA,0.857,0.577,2.071,759084,137.588
