county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
adair,IA,0.652,0.0,2.845,14633,215.147
adams,IA,0.572,0.0,2.77,10119,270.685
allamakee,IA,0.604,0.0,1.466,14045,139.845
appanoose,IA,0.604,0.276,2.582,22293,241.536
audubon,IA,0.651,0.0,2.609,11663,185.768
benton,IA,0.749,0.147,1.311,17896,64.732
black-hawk,IA,0.777,0.809,1.443,68029,91.824
boone,IA,0.745,0.369,1.799,24332,824.94
bremer,IA,0.81,0.249,1.773,19924,102.27
buchanan,IA,0.0,0.259,1.855,21446,100.365
buena-vista,IA,0.674,0.333,1.847,19697,108.108
butler,IA,0.623,0.0,1.494,15634,108.142
calhoun,IA,0.598,0.0,2.328,17791,147.651
carroll,IA,0.0,0.327,1.774,22309,91.966
cass,IA,0.723,0.363,2.078,17008,173.317
cedar,IA,0.748,0.0,2.0,20390,129.754
cerro-gordo,IA,0.77,0.708,1.575,33187,86.27
cherokee,IA,0.0,0.247,1.978,17075,118.744
chickasaw,IA,0.744,0.0,1.339,10055,76.375
clarke,IA,0.688,0.354,2.431,12250,216.876
clay,IA,0.0,0.437,1.848,18638,107.85
clayton,IA,0.628,0.008,2.663,30570,167.015
clinton,IA,0.672,0.592,1.538,34493,83.702
crawford,IA,0.672,0.275,2.613,22799,188.291
dallas,IA,0.815,0.634,1.447,54163,546.36
davis,IA,0.707,0.0,2.503,12251,213.398
decatur,IA,0.64,0.0,3.358,15991,400.742
delaware,IA,0.629,0.207,1.763,17852,91.596
des-moines,IA,0.83,0.651,1.624,28690,120.63
dickinson,IA,0.512,0.687,1.743,26616,69.678
dubuque,IA,0.844,0.617,1.455,52617,58.594
emmet,IA,0.731,0.433,2.291,13613,157.206
fayette,IA,0.684,0.243,1.493,17018,88.131
floyd,IA,0.726,0.354,1.3,11791,66.561
franklin,IA,0.65,0.0,2.501,17667,153.997
fremont,IA,0.587,0.004,2.787,14605,248.892
greene,IA,0.615,0.0,2.298,15370,163.875
grundy,IA,0.389,0.0,1.269,10443,71.46
guthrie,IA,0.593,0.0,2.192,19715,238.042
hamilton,IA,0.0,0.328,2.0,19163,127.729
hancock,IA,0.0,0.0,2.0,16218,115.95
hardin,IA,0.68,0.202,2.012,21793,122.603
harrison,IA,0.671,0.0,2.693,25184,208.699
henry,IA,0.764,0.314,1.76,16421,109.428
howard,IA,0.73,0.0,2.315,13751,162.643
humboldt,IA,0.639,0.366,2.568,16746,115.875
ida,IA,0.632,0.0,2.386,11544,152.968
iowa,IA,0.709,0.0,2.179,19503,1104.506
