county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
capitol,CT,0.84,0.842,1.259,2458990,72.021
greater-bridgeport,CT,0.835,0.958,1.231,472979,44.769
lower-connecticut-river-valley,CT,0.351,0.653,1.15,461259,97.175
naugatuck-valley,CT,0.0,0.877,1.082,162123,9.284
northeastern-connecticut,CT,0.637,0.308,1.267,318185,125.68
northwest-hills,CT,0.703,0.339,1.321,447736,77.0
south-central-connecticut,CT,0.873,0.95,1.224,1315805,32.357
southeastern-connecticut,CT,0.429,0.659,1.169,527509,79.842
western-connecticut,CT,0.53,0.877,1.189,849444,37.694
kent,DE,0.86,0.657,1.445,685369,93.594
new-castle,DE,0.911,0.918,1.263,1156682,62.497
sussex,DE,0.632,0.69,1.398,1184606,128.095
barnstable,MA,0.537,0.976,1.277,1515059,128.473
berkshire,MA,0.68,0.494,1.423,780215,236.891
bristol,MA,0.873,0.852,1.275,1783939,130.903
dukes,MA,0.318,0.64,1.438,126352,128.553
essex,MA,0.852,0.928,1.224,1845825,54.921
franklin,MA,0.765,0.344,1.566,864469,214.177
hampden,MA,0.879,0.851,1.292,1543382,66.517
hampshire,MA,0.843,0.6,1.367,683124,262.73
middlesex,MA,0.88,0.953,1.232,3624302,88.694
nantucket,MA,0.314,0.673,1.61,204721,60.335
norfolk,MA,0.901,0.974,1.184,1624737,54.88
plymouth,MA,0.853,0.856,1.256,2177318,96.557
suffolk,MA,0.776,1.0,1.474,705235,38.334
worcester,MA,0.864,0.716,1.319,3082368,256.909
allegany,MD,0.753,0.554,1.498,215105,146.943
anne-arundel,MD,0.804,0.905,1.462,1887391,22.172
baltimore,MD,0.768,1.0,1.466,9536829,25.113
baltimore-county,MD,0.815,0.897,1.453,3171684,32.783
calvert,MD,0.792,0.401,1.276,185024,20.169
caroline,MD,0.797,0.129,1.437,70297,58.817
carroll,MD,0.917,0.555,1.193,364295,36.202
cecil,MD,0.801,0.426,1.423,213375,60.443
charles,MD,0.814,0.664,1.22,329804,30.123
dorchester,MD,0.681,0.333,1.678,186918,171.373
frederick,MD,0.71,0.65,1.152,373117,87.964
garrett,MD,0.489,0.076,1.55,130209,85.315
harford,MD,0.881,0.771,1.197,560162,63.132
howard,MD,0.912,0.843,1.163,962563,36.397
kent,MD,0.646,0.173,1.426,59129,49.27
montgomery,MD,0.899,0.955,1.165,2716223,32.466
prince-georges,MD,0.897,0.956,1.459,3917820,67.158
queen-annes,MD,0.801,0.442,1.297,117181,53.093
somerset,MD,0.609,0.278,1.788,134296,361.793
st-marys,MD,0.778,0.352,1.357,257359,52.534
talbot,MD,0.716,0.356,1.362,80036,23.404
washington,MD,0.826,0.592,1.331,411217,151.311
wicomico,MD,0.764,0.63,1.55,332688,42.851
