county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
autauga,AL,0.724,0.529,1.49,747030,447.124
baldwin,AL,0.734,0.585,1.617,1422081,241.814
barbour,AL,0.624,0.241,2.521,295231,383.905
bibb,AL,0.685,0.0,2.24,315388,781.437
blount,AL,0.777,0.069,2.046,391975,199.904
bullock,AL,0.571,0.0,2.277,79921,462.384
butler,AL,0.627,0.197,2.597,567307,1008.027
calhoun,AL,0.741,0.584,1.807,820801,98.825
chambers,AL,0.735,0.398,2.057,356183,214.94
cherokee,AL,0.568,0.0,2.387,760008,625.566
chilton,AL,0.697,0.126,1.996,532558,394.713
choctaw,AL,0.509,0.0,3.54,1006912,570.539
clarke,AL,0.406,0.0,2.854,1304665,727.797
clay,AL,0.644,0.0,2.858,305881,1023.377
cleburne,AL,0.695,0.0,2.584,778300,1072.86
coffee,AL,0.768,0.47,1.909,256049,149.42
colbert,AL,0.771,0.513,1.971,397168,130.813
conecuh,AL,0.52,0.0,2.788,652049,792.891
coosa,AL,0.413,0.0,1.813,186775,485.664
covington,AL,0.676,0.245,2.154,909549,1198.953
crenshaw,AL,0.599,0.0,2.868,614444,1237.317
cullman,AL,0.731,0.186,1.817,433247,197.451
dale,AL,0.747,0.402,1.938,272593,226.929
dallas,AL,0.562,0.43,2.188,769626,433.108
dekalb,AL,0.722,0.08,1.987,310112,176.551
elmore,AL,0.685,0.223,1.569,509820,82.338
escambia,AL,0.685,0.314,2.29,526233,830.935
etowah,AL,0.783,0.534,1.946,594292,37.835
fayette,AL,0.652,0.0,3.078,1153766,730.234
franklin,AL,0.733,0.206,2.077,263666,437.46
geneva,AL,0.711,0.005,2.291,270829,345.904
greene,AL,0.467,0.0,2.391,181187,714.115
hale,AL,0.581,0.0,2.166,194145,467.75
henry,AL,0.625,0.0,2.339,262603,329.216
houston,AL,0.789,0.586,1.846,691464,76.43
jackson,AL,0.672,0.188,1.907,296984,294.681
jefferson,AL,0.788,0.847,1.844,21666705,44.422
lamar,AL,0.641,0.0,3.271,1338564,733.014
lauderdale,AL,0.768,0.39,1.718,393523,116.428
lawrence,AL,0.752,0.0,1.948,144465,1071.478
lee,AL,0.726,0.618,1.452,699508,190.642
limestone,AL,0.73,0.473,1.545,1772561,16.497
lowndes,AL,0.552,0.0,2.393,383025,682.103
macon,AL,0.418,0.272,1.836,215237,128.16
madison,AL,0.859,0.773,1.437,2812417,28.002
marengo,AL,0.593,0.216,2.789,1041209,738.77
marion,AL,0.743,0.0,2.507,591453,484.539
marshall,AL,0.777,0.37,1.907,430017,85.723
mobile,AL,0.768,0.717,1.616,2105978,100.405
monroe,AL,0.434,0.125,2.016,1086909,836.12
montgomery,AL,0.771,0.82,1.54,2805573,20.684
morgan,AL,0.831,0.549,1.796,597913,60.619
perry,AL,0.518,0.0,2.534,963084,880.609
pickens,AL,0.634,0.0,2.961,1012845,698.121
pike,AL,0.681,0.293,2.386,195841,335.716
randolph,AL,0.597,0.0,2.385,725190,495.961
russell,AL,0.676,0.486,1.776,419857,170.157
shelby,AL,0.857,0.719,1.352,7779088,31.029
st-clair,AL,0.732,0.296,1.615,1232682,36.531
sumter,AL,0.0,0.0,1.607,16030,321.292
talladega,AL,0.697,0.337,1.806,866175,168.788
tallapoosa,AL,0.614,0.131,2.1,1400947,181.666
tuscaloosa,AL,0.759,0.58,1.85,1991123,331.0
