county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
autauga,AL,0.693,0.517,1.273,33210,101.028
baldwin,AL,0.684,0.572,1.31,151310,139.109
barbour,AL,0.611,0.237,1.849,25165,288.886
bibb,AL,0.645,0.0,1.707,17376,938.81
blount,AL,0.739,0.074,1.657,43863,48.896
bullock,AL,0.576,0.0,1.739,10665,411.708
butler,AL,0.61,0.197,1.872,21610,1796.664
calhoun,AL,0.688,0.592,1.45,74369,36.617
chambers,AL,0.694,0.409,1.544,26541,93.72
cherokee,AL,0.571,0.0,1.894,34408,152.4
chilton,AL,0.654,0.131,1.572,33409,192.887
choctaw,AL,0.48,0.0,2.113,25093,333.444
clarke,AL,0.386,0.0,1.874,32270,2061.76
clay,AL,0.618,0.0,2.102,17488,2002.692
cleburne,AL,0.685,0.0,2.098,17020,4381.711
coffee,AL,0.737,0.451,1.535,37876,90.727
colbert,AL,0.709,0.505,1.477,43054,78.551
conecuh,AL,0.513,0.0,1.891,18906,2953.851
coosa,AL,0.409,0.0,1.584,15854,264.862
covington,AL,0.643,0.255,1.563,34444,1357.448
crenshaw,AL,0.575,0.0,2.079,17984,812.265
cullman,AL,0.685,0.195,1.442,58769,33.757
dale,AL,0.711,0.402,1.537,31725,181.144
dallas,AL,0.521,0.448,1.611,31787,260.644
dekalb,AL,0.692,0.086,1.579,53417,45.509
elmore,AL,0.666,0.221,1.335,53427,106.084
escambia,AL,0.663,0.312,1.702,33329,3044.573
etowah,AL,0.718,0.552,1.509,75240,21.399
fayette,AL,0.631,0.0,2.167,23018,134.597
franklin,AL,0.703,0.204,1.57,23277,111.122
geneva,AL,0.677,0.004,1.698,25461,87.141
greene,AL,0.481,0.0,1.767,10972,401.659
hale,AL,0.564,0.0,1.607,15932,196.114
henry,AL,0.616,0.0,1.834,21647,131.275
houston,AL,0.703,0.594,1.387,62403,31.627
jackson,AL,0.653,0.188,1.511,43482,191.365
jefferson,AL,0.688,0.851,1.47,404217,1004.945
lamar,AL,0.616,0.0,2.253,20965,137.972
lauderdale,AL,0.713,0.396,1.307,54882,163.589
lawrence,AL,0.73,0.0,1.511,26068,1520.616
lee,AL,0.683,0.618,1.237,71286,34.355
limestone,AL,0.698,0.459,1.33,63854,32.114
lowndes,AL,0.549,0.0,1.824,13467,507.694
macon,AL,0.415,0.303,1.378,20055,107.078
madison,AL,0.787,0.768,1.222,186287,16.828
marengo,AL,0.565,0.203,1.93,24079,332.859
marion,AL,0.704,0.0,1.861,29936,136.861
marshall,AL,0.738,0.391,1.5,64513,352.397
mobile,AL,0.67,0.716,1.219,211618,54.729
monroe,AL,0.44,0.124,1.594,26899,250.547
montgomery,AL,0.661,0.821,1.193,104484,26.277
morgan,AL,0.781,0.556,1.504,75825,136.222
perry,AL,0.519,0.0,1.799,12343,581.56
pickens,AL,0.602,0.0,2.097,24509,561.479
pike,AL,0.647,0.294,1.758,23327,127.111
randolph,AL,0.6,0.0,1.845,29077,398.112
russell,AL,0.618,0.497,1.449,36000,123.766
shelby,AL,0.809,0.705,1.203,105155,73.25
st-clair,AL,0.695,0.291,1.383,60212,59.646
sumter,AL,0.0,0.0,1.607,16030,321.292
talladega,AL,0.662,0.341,1.425,56610,76.767
tallapoosa,AL,0.597,0.143,1.615,41619,233.463
tuscaloosa,AL,0.67,0.577,1.408,109739,145.393
walker,AL,0.622,0.17,1.782,59855,243.353
washington,AL,0.494,0.0,2.177,27608,1016.995
wilcox,AL,0.435,0.0,1.929,17180,372.887
winston,AL,0.541,0.0,1.987,34140,1565.006
arkansas,AR,0.684,0.358,1.516,15992,2343.501
ashley,AR,0.675,0.293,1.572,18865,2576.836
baxter,AR,0.6,0.293,1.401,38232,502.281
benton,AR,0.668,0.645,1.325,170620,106.655
boone,AR,0.677,0.279,1.51,28970,69.919
bradley,AR,0.556,0.359,1.643,12451,4192.111
calhoun,AR,0.465,0.0,2.117,9834,2735.316
carroll,AR,0.557,0.096,1.442,25773,88.938
chicot,AR,0.587,0.0,1.404,10969,258.926
clark,AR,0.619,0.234,1.637,20217,897.617
clay,AR,0.559,0.0,1.669,16223,174.882
cleburne,AR,0.502,0.175,1.466,31044,162.492
cleveland,AR,0.479,0.0,1.689,7239,1603.224
columbia,AR,0.49,0.203,1.389,18164,80.35
conway,AR,0.621,0.22,1.513,19329,1749.693
craighead,AR,0.692,0.552,1.329,53856,38.211
crawford,AR,0.746,0.399,1.461,37585,805.99
crittenden,AR,0.688,0.695,1.35,25104,119.729
cross,AR,0.713,0.343,1.392,12231,189.369
dallas,AR,0.5,0.0,1.676,10911,5311.917
desha,AR,0.62,0.276,1.728,9715,1461.036
drew,AR,0.602,0.314,1.489,12826,1099.16
faulkner,AR,0.747,0.41,1.395,64643,42.537
franklin,AR,0.707,0.0,1.599,15489,1415.813
fulton,AR,0.523,0.0,1.467,5500,210.379
garland,AR,0.558,0.596,1.334,76247,8287.479
grant,AR,0.72,0.183,1.613,15767,2490.943
greene,AR,0.769,0.438,1.383,27391,56.249
hempstead,AR,0.578,0.314,1.467,18902,216.441
hot-spring,AR,0.695,0.245,1.404,23556,739.347
howard,AR,0.712,0.0,1.404,10111,6884.398
independence,AR,0.694,0.222,1.682,29981,141.938
izard,AR,0.287,0.0,1.743,29835,115.943
jackson,AR,0.657,0.294,1.574,13926,698.757
jefferson,AR,0.576,0.646,1.518,54823,177.001
johnson,AR,0.624,0.186,1.408,17679,17091.148
lafayette,AR,0.422,0.0,1.616,11700,251.428
lawrence,AR,0.498,0.028,2.156,8259,320.315
lee,AR,0.491,0.0,1.849,10185,449.676
lincoln,AR,0.58,0.0,1.499,10553,205.29
little-river,AR,0.68,0.0,1.793,14536,680.931
logan,AR,0.667,0.0,1.607,20061,3185.928
lonoke,AR,0.769,0.39,1.343,38297,80.885
madison,AR,0.596,0.0,2.003,20775,7797.633
marion,AR,0.519,0.0,1.549,12725,2992.9
miller,AR,0.704,0.499,1.385,26984,172.728
mississippi,AR,0.637,0.473,1.547,30674,636.859
monroe,AR,0.516,0.0,1.499,8781,3568.561
montgomery,AR,0.526,0.0,1.742,11357,206708.896
nevada,AR,0.445,0.0,1.592,12639,174.534
newton,AR,0.217,0.0,1.839,9666,96481.511
ouachita,AR,0.553,0.252,1.443,16567,444.598
perry,AR,0.629,0.0,1.618,10146,3881.118
phillips,AR,0.486,0.394,1.747,18691,540.141
pike,AR,0.583,0.0,1.605,11121,6588.301
poinsett,AR,0.698,0.241,1.775,18400,272.975
polk,AR,0.699,0.251,1.627,19474,57621.852
pope,AR,0.702,0.353,1.297,31922,7143.961
prairie,AR,0.578,0.0,1.72,10025,1807.093
pulaski,AR,0.713,0.84,1.225,180161,55.951
randolph,AR,0.676,0.262,1.68,18036,132.099
saline,AR,0.668,0.565,1.321,78193,3338.029
scott,AR,0.691,0.0,1.955,10756,155541.897
searcy,AR,0.546,0.0,1.867,11815,5278.997
sebastian,AR,0.714,0.731,1.222,59602,162.158
sevier,AR,0.716,0.234,1.543,11805,865.034
sharp,AR,0.262,0.0,1.688,45806,47.621
st-francis,AR,0.589,0.36,1.753,17764,176.529
stone,AR,0.611,0.0,1.793,15142,1689.693
union,AR,0.601,0.319,1.453,31248,535.879
van-buren,AR,0.346,0.0,1.732,32004,357.413
washington,AR,0.72,0.624,1.417,108988,82.015
white,AR,0.714,0.338,1.397,48579,77.538
woodruff,AR,0.569,0.0,1.826,9187,649.511
yell,AR,0.622,0.127,1.887,19132,63523.143
district-of-columbia,DC,0.734,1.0,1.242,207339,28.645
alachua,FL,0.701,0.629,1.322,117972,129.76
baker,FL,0.78,0.37,1.27,13050,3915.488
bay,FL,,0.813,1.223,127172,781.466
bradford,FL,0.723,0.293,1.305,15547,467.189
brevard,FL,0.707,0.901,1.16,343356,421.275
